Full_Date,Open,High,Low,Close,Index
11/18/2016,316.53,316.53,316.43,316.53,DJ Global Index (World)
11/17/2016,317.61,317.77,317.21,317.29,DJ Global Index (World)
11/16/2016,316.95,317.03,316.84,317.02,DJ Global Index (World)
11/15/2016,317.39,317.83,317.39,317.78,DJ Global Index (World)
11/14/2016,315.79,316.08,315.78,315.98,DJ Global Index (World)
11/13/2016,316.39,316.39,316.39,316.39,DJ Global Index (World)
11/11/2016,316.42,316.42,315.02,316.42,DJ Global Index (World)
11/10/2016,318.22,318.45,317.99,318.01,DJ Global Index (World)
11/9/2016,316.96,319.02,316.96,319,DJ Global Index (World)
11/8/2016,317.56,317.88,317.42,317.45,DJ Global Index (World)
11/7/2016,316.45,316.52,316.29,316.31,DJ Global Index (World)
11/6/2016,311.41,311.41,311.41,311.41,DJ Global Index (World)
11/4/2016,311.55,311.55,311.19,311.55,DJ Global Index (World)
11/3/2016,312.94,312.96,312.32,312.34,DJ Global Index (World)
11/2/2016,313.77,313.89,313.71,313.88,DJ Global Index (World)
11/1/2016,316.53,316.54,315.92,316.03,DJ Global Index (World)
10/31/2016,317.6,317.61,317.3,317.31,DJ Global Index (World)
10/30/2016,317.78,317.78,317.78,317.78,DJ Global Index (World)
10/28/2016,317.4,318.7,317.23,317.4,DJ Global Index (World)
10/27/2016,317.77,318.02,317.77,318,DJ Global Index (World)
10/26/2016,319.06,319.13,318.98,319.1,DJ Global Index (World)
10/25/2016,320.22,320.23,319.97,319.98,DJ Global Index (World)
10/24/2016,320.69,320.94,320.68,320.86,DJ Global Index (World)
10/23/2016,319.72,319.72,319.42,319.72,DJ Global Index (World)
10/21/2016,319.7,319.7,318.59,319.7,DJ Global Index (World)
10/20/2016,320.27,320.3,320.07,320.14,DJ Global Index (World)
10/19/2016,320.76,320.85,320.7,320.83,DJ Global Index (World)
10/18/2016,319.66,319.81,319.61,319.8,DJ Global Index (World)
10/17/2016,316.95,317.19,316.92,317.17,DJ Global Index (World)
10/16/2016,317.54,317.72,317.54,317.54,DJ Global Index (World)
10/14/2016,317.77,319.58,317.77,317.77,DJ Global Index (World)
10/13/2016,317.15,317.2,316.92,316.99,DJ Global Index (World)
10/12/2016,318.2,318.32,318.11,318.21,DJ Global Index (World)
10/11/2016,319.29,319.41,318.96,319,DJ Global Index (World)
10/10/2016,322.79,322.87,322.75,322.78,DJ Global Index (World)
10/9/2016,321.71,321.71,321.71,321.71,DJ Global Index (World)
10/7/2016,321.62,323.03,320.45,321.62,DJ Global Index (World)
10/6/2016,322.67,322.68,321.59,322.19,DJ Global Index (World)
10/5/2016,323.29,323.59,323.27,323.55,DJ Global Index (World)
10/4/2016,322.62,322.71,322.54,322.71,DJ Global Index (World)
10/3/2016,323.47,323.53,323.36,323.48,DJ Global Index (World)
10/2/2016,323.38,323.38,323.38,323.38,DJ Global Index (World)
9/30/2016,323.54,324.18,320.58,323.54,DJ Global Index (World)
9/29/2016,322.98,323,322.2,322.25,DJ Global Index (World)
